flow_id,title,priority,component,preconditions,steps,expected_result
FLW-001,Публикация с валидным профилем,P0,feed-api|web-ui,"Профиль заполнен: name + (email|phone)","Открыть Ленту -> ввести валидный текст -> нажать Опубликовать","POST /api/feed/posts = 201; пост отображается в /api/feed/posts"
FLW-002,Forced redirect в профиль при невалидном профиле,P0,web-ui|feed-api,"Профиль не заполнен","В Ленте ввести текст -> нажать Опубликовать","Черновик сохранен; UI переключен на Профиль/Документы"
FLW-003,Автопродолжение публикации после сохранения профиля,P0,web-ui|feed-api,"Есть сохраненный черновик после FLW-002","В Профиле заполнить обязательные поля -> сохранить","POST /api/feed/profiles = 201; авто-возврат в Ленту; повторная отправка поста"
FLW-004,Одобренная лента отображает только approved,P1,feed-api,"Есть записи со статусами approved/rejected/pending","Вызвать GET /api/feed/approved","В ответе только approved записи (посты + объявления)"
FLW-005,Rate limit при частых публикациях,P1,feed-api|web-ui,"Отправить несколько постов подряд с одного IP","Несколько раз нажать Опубликовать без пауз","API возвращает 429 + retry_after/Retry-After; UI показывает ожидание"
FLW-006,Навигация между разделами без потери состояния,P2,web-ui,"Открыта гостевая лента","Переключить Лента -> Правила -> Профиль -> Лента","Активный раздел корректно меняется; состояние формы не ломается"
FLW-007,Серверные реакции восстанавливаются после reload,P0,feed-api|web-ui,"Есть опубликованный пост и guest_profile_id","Поставить like -> перезагрузить страницу -> снова открыть ленту","my_reaction=like и reactions.like увеличен согласно backend payload"
FLW-008,Смена и снятие реакции консистентны,P1,feed-api|web-ui,"Для поста уже установлена like-реакция","Сменить like на dislike -> снять реакцию","my_reaction последовательно like->dislike->null; aggregate счётчики корректны"
FLW-009,CRUD комментариев только для автора,P0,feed-api|web-ui,"Есть пост и два разных guest_profile_id","Пользователь A создаёт комментарий; A редактирует/удаляет; пользователь B пытается редактировать/удалять A","Для A операции успешны; для B API возвращает 403, комментарий не меняется"
FLW-010,Понятные ошибки комментариев/реакций,P1,web-ui|feed-api,"Подготовлены негативные кейсы (invalid payload, missing post/comment)","Отправить невалидный комментарий/реакцию и запрос к несуществующему post/comment","UI показывает понятные сообщения об ошибке; API отдаёт 400/404 с кодом ошибки"
FLW-011,Стабильность поиска и фильтров,P1,web-ui|feed-api,"Есть набор постов с разными авторами/тегами/текстом","Применить поиск и фильтры; повторить запрос после очистки/повторного применения","Результаты предсказуемы и соответствуют выбранным критериям без рассинхронизации"
FLW-012,Infinite scroll/pagination без пропусков,P1,web-ui|feed-api,"В ленте больше записей чем размер страницы","Прокрутить до подгрузки нескольких страниц; сравнить итоговый список с API","Элементы не дублируются и не пропадают; порядок выдачи стабилен"
